G,Date,Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Days Ago
1,2023-10-24,Denver Nuggets,107,119,0,1,L 1,19842,2:17,461
2,2023-10-26,Phoenix Suns,100,95,1,1,W 1,18997,2:26,459
3,2023-10-29,Sacramento Kings,127,132,1,2,L 1,18198,2:38,456
4,2023-10-30,Orlando Magic,106,103,2,2,W 1,18997,2:18,455
5,2023-11-01,Los Angeles Clippers,130,125,3,2,W 2,18997,2:46,453
6,2023-11-04,Orlando Magic,101,120,3,3,L 1,18846,2:21,450
7,2023-11-06,Miami Heat,107,108,3,4,L 2,19725,2:10,448
8,2023-11-08,Houston Rockets,94,128,3,5,L 3,18055,2:11,446
9,2023-11-10,Phoenix Suns,122,119,4,5,W 1,17071,2:33,444
10,2023-11-12,Portland Trail Blazers,116,110,5,5,W 2,18997,2:11,442
11,2023-11-14,Memphis Grizzlies,134,107,6,5,W 3,18430,2:14,440
12,2023-11-15,Sacramento Kings,110,125,6,6,L 1,18687,2:13,439
13,2023-11-17,Portland Trail Blazers,107,95,7,6,W 1,18570,2:08,437
14,2023-11-19,Houston Rockets,105,104,8,6,W 2,18997,2:21,435
15,2023-11-21,Utah Jazz,131,99,9,6,W 3,18997,2:09,433
16,2023-11-22,Dallas Mavericks,101,104,9,7,L 1,18997,2:12,432
17,2023-11-25,Cleveland Cavaliers,121,115,10,7,W 1,19432,2:12,429
18,2023-11-27,Philadelphia 76ers,94,138,10,8,L 1,19907,2:11,427
19,2023-11-29,Detroit Pistons,133,107,11,8,W 1,20062,2:13,425
20,2023-11-30,Oklahoma City Thunder,110,133,11,9,L 1,17401,2:07,424
21,2023-12-02,Houston Rockets,107,97,12,9,W 1,18997,2:17,422
22,2023-12-05,Phoenix Suns,106,103,13,9,W 2,18664,2:28,419
23,2023-12-07,New Orleans Pelicans,133,89,14,9,W 3,18017,2:12,417
24,2023-12-12,Dallas Mavericks,125,127,14,10,L 1,20377,2:21,412
25,2023-12-13,San Antonio Spurs,122,119,15,10,W 1,18354,2:14,411
26,2023-12-15,San Antonio Spurs,115,129,15,11,L 1,18354,2:14,409
27,2023-12-18,New York Knicks,109,114,15,12,L 2,18997,2:16,406
28,2023-12-20,Chicago Bulls,108,124,15,13,L 3,21234,2:00,404
29,2023-12-21,Minnesota Timberwolves,111,118,15,14,L 4,18024,2:17,403
30,2023-12-23,Oklahoma City Thunder,129,120,16,14,W 1,18203,2:08,401
31,2023-12-25,Boston Celtics,115,126,16,15,L 1,18997,2:17,399
32,2023-12-28,Charlotte Hornets,133,112,17,15,W 1,18997,2:03,396
33,2023-12-30,Minnesota Timberwolves,106,108,17,16,L 1,18024,2:29,394
34,2023-12-31,New Orleans Pelicans,109,129,17,17,L 2,18434,2:07,393
35,2024-01-03,Miami Heat,96,110,17,18,L 3,18997,2:14,390
36,2024-01-05,Memphis Grizzlies,113,127,17,19,L 4,18997,2:15,388
37,2024-01-07,Los Angeles Clippers,106,103,18,19,W 1,18997,2:16,386
38,2024-01-09,Toronto Raptors,132,131,19,19,W 2,18997,2:28,384
39,2024-01-11,Phoenix Suns,109,127,19,20,L 1,18416,2:19,382
40,2024-01-13,Utah Jazz,125,132,19,21,L 2,18206,2:18,380
41,2024-01-15,Oklahoma City Thunder,112,105,20,21,W 1,18997,2:05,378
42,2024-01-17,Dallas Mavericks,127,110,21,21,W 2,18338,2:17,376
43,2024-01-19,Brooklyn Nets,112,130,21,22,L 1,18997,2:11,374
44,2024-01-21,Portland Trail Blazers,134,110,22,22,W 1,18997,2:04,372
45,2024-01-23,Los Angeles Clippers,116,127,22,23,L 1,19370,2:10,370
46,2024-01-25,Chicago Bulls,141,132,23,23,W 1,18997,2:15,368
47,2024-01-27,Golden State Warriors,145,144,24,23,W 2,18064,3:17,366
48,2024-01-29,Houston Rockets,119,135,24,24,L 1,18055,2:12,364
49,2024-01-30,Atlanta Hawks,122,138,24,25,L 2,17871,2:06,363
50,2024-02-01,Boston Celtics,114,105,25,25,W 1,19156,2:13,361
51,2024-02-03,New York Knicks,113,105,26,25,W 2,19812,2:18,359
52,2024-02-05,Charlotte Hornets,124,118,27,25,W 3,19375,2:02,357
53,2024-02-08,Denver Nuggets,106,114,27,26,L 1,18997,2:12,354
54,2024-02-09,New Orleans Pelicans,139,122,28,26,W 1,18997,2:13,353
55,2024-02-13,Detroit Pistons,125,111,29,26,W 2,18997,2:07,349
56,2024-02-14,Utah Jazz,138,122,30,26,W 3,18206,2:06,348
57,2024-02-22,Golden State Warriors,110,128,30,27,L 1,18064,2:15,340
58,2024-02-23,San Antonio Spurs,123,118,31,27,W 1,18997,2:12,339
59,2024-02-25,Phoenix Suns,113,123,31,28,L 1,17071,2:20,337
60,2024-02-28,Los Angeles Clippers,116,112,32,28,W 1,19370,2:16,334
61,2024-02-29,Washington Wizards,134,131,33,28,W 2,18997,2:22,333
62,2024-03-02,Denver Nuggets,114,124,33,29,L 1,18997,2:02,331
63,2024-03-04,Oklahoma City Thunder,116,104,34,29,W 1,18997,2:04,329
64,2024-03-06,Sacramento Kings,120,130,34,30,L 1,18498,2:16,327
65,2024-03-08,Milwaukee Bucks,123,122,35,30,W 1,18997,2:20,325
66,2024-03-10,Minnesota Timberwolves,120,109,36,30,W 2,18997,2:15,323
67,2024-03-13,Sacramento Kings,107,120,36,31,L 1,18332,2:14,320
68,2024-03-16,Golden State Warriors,121,128,36,32,L 2,18997,2:25,317
69,2024-03-18,Atlanta Hawks,136,105,37,32,W 1,18997,1:57,315
70,2024-03-22,Philadelphia 76ers,101,94,38,32,W 2,18997,2:18,311
71,2024-03-24,Indiana Pacers,150,145,39,32,W 3,18997,2:20,309
72,2024-03-26,Milwaukee Bucks,128,124,40,32,W 4,18085,3:04,307
73,2024-03-27,Memphis Grizzlies,136,124,41,32,W 5,17794,2:16,306
74,2024-03-29,Indiana Pacers,90,109,41,33,L 1,17274,2:06,304
75,2024-03-31,Brooklyn Nets,116,104,42,33,W 1,18162,2:08,302
76,2024-04-02,Toronto Raptors,128,111,43,33,W 2,19800,2:06,300
77,2024-04-03,Washington Wizards,125,120,44,33,W 3,20333,2:14,299
78,2024-04-06,Cleveland Cavaliers,116,97,45,33,W 4,18997,2:04,296
79,2024-04-07,Minnesota Timberwolves,117,127,45,34,L 1,18997,2:05,295
80,2024-04-09,Golden State Warriors,120,134,45,35,L 2,18997,2:15,293
81,2024-04-12,Memphis Grizzlies,123,120,46,35,W 1,17794,2:20,290
82,2024-04-14,New Orleans Pelicans,124,108,47,35,W 2,18633,2:16,288
83,2024-04-16,New Orleans Pelicans,110,106,48,35,W 3,18591,2:33,286
