Team,Season,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace
ATL,2022,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,97.7
ATL,2022,16,14,14,14,14,16,14,2,26,20
ATL,2023,41,41,42,40,0.29,0.02,0.32,116.6,116.3,100.7
ATL,2023,17,13,18,18,18,15,17,7,22,9
ATL,2024,36,46,36,46,-2.18,-0.19,-2.38,117.2,119.4,100.1
ATL,2024,21,10,21,21,21,22,21,12,27,5
BOS,2022,51,31,59,23,7.28,-0.26,7.02,114.4,106.9,96.6
BOS,2022,6,23,2,2,2,27,1,7,2,24
BOS,2023,57,25,57,25,6.52,-0.15,6.38,118,111.5,98.5
BOS,2023,2,29,1,1,1,20,1,2,3,20
BOS,2024,64,18,66,16,11.34,-0.6,10.75,123.2,111.6,97.2
BOS,2024,1,30,1,1,1,29,1,1,3,23
BRK,2022,44,38,43,39,0.78,0.04,0.82,113.6,112.8,99
BRK,2022,14,16,15,15,15,14,15,11,19,11
BRK,2023,45,37,43,39,0.85,0.18,1.03,115,114.1,98.3
BRK,2023,9,21,15,15,15,7,14,17,13,21
BRK,2024,32,50,34,48,-2.89,-0.13,-3.02,113.2,116.1,96.9
BRK,2024,22,9,22,22,22,20,22,23,20,26
CHO,2022,43,39,42,40,0.44,0.09,0.53,114.1,113.7,100
CHO,2022,16,14,16,16,16,11,16,9,23,6
CHO,2023,27,55,26,56,-6.24,0.35,-5.89,109.2,115.3,100.8
CHO,2023,27,4,27,27,27,2,27,30,20,8
CHO,2024,21,61,18,64,-10.24,0.13,-10.12,109.3,119.8,97.3
CHO,2024,27,3,30,30,30,9,30,28,29,19
CHI,2022,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,98.3
CHI,2022,12,18,20,20,20,15,20,13,22,15
CHI,2023,40,42,44,38,1.29,0.07,1.37,113.5,112.2,98.5
CHI,2023,19,11,13,13,13,11,13,24,5,19
CHI,2024,39,43,37,45,-1.44,-0.33,-1.77,114.9,116.3,96.3
CHI,2024,20,11,20,20,20,25,20,19,21,28
CLE,2022,44,38,47,35,2.12,-0.08,2.04,111.9,109.7,96.1
CLE,2022,14,16,13,13,13,20,13,20,7,26
CLE,2023,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,95.7
CLE,2023,5,25,2,2,2,22,2,9,1,30
CLE,2024,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,97.2
CLE,2024,11,20,13,13,13,26,15,18,6,22
DAL,2022,52,30,50,32,3.3,-0.18,3.12,112.8,109.4,95.4
DAL,2022,5,26,7,7,8,25,8,15,6,30
DAL,2023,38,44,41,41,0.07,-0.22,-0.14,116.8,116.7,96.6
DAL,2023,21,10,19,19,19,26,20,6,24,28
DAL,2024,50,32,46,36,2.21,0.09,2.3,117.6,115.4,100.1
DAL,2024,6,24,14,14,14,11,13,10,18,6
DEN,2022,48,34,47,35,2.3,-0.15,2.16,114.5,112.1,97.8
DEN,2022,10,20,12,12,11,24,12,6,15,19
DEN,2023,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,98.1
DEN,2023,4,27,6,6,6,28,6,5,15,23
DEN,2024,57,25,54,28,5.26,-0.03,5.23,118.5,113,96.8
DEN,2024,2,28,4,4,4,17,4,5,8,27
DET,2022,23,59,22,60,-7.72,0.37,-7.36,106,113.8,98.4
DET,2022,28,3,26,26,26,1,26,28,24,14
DET,2023,17,65,22,60,-8.22,0.49,-7.73,110.7,118.9,99
DET,2023,30,1,29,29,29,1,29,28,28,15
DET,2024,14,68,20,62,-9.11,0.05,-9.06,109.7,118.8,99.8
DET,2024,30,1,28,28,28,12,28,27,26,9
GSW,2022,53,29,55,27,5.54,-0.02,5.52,112.5,106.9,98.4
GSW,2022,3,27,4,4,5,17,4,17,1,13
GSW,2023,44,38,45,37,1.8,-0.15,1.66,116.1,114.4,101.6
GSW,2023,11,18,11,11,11,23,10,8,17,2
GSW,2024,46,36,47,35,2.61,0.16,2.77,117.8,115.2,99.2
GSW,2024,16,13,11,11,12,7,9,8,15,12
HOU,2022,20,62,21,61,-8.48,0.22,-8.26,108.4,116.7,100.9
HOU,2022,30,1,28,28,29,5,29,26,29,2
HOU,2023,22,60,23,59,-7.85,0.24,-7.62,111.4,119.3,99
HOU,2023,28,2,28,28,28,4,28,27,29,16
HOU,2024,41,41,44,38,1.12,0.12,1.24,114.5,113.4,99
HOU,2024,19,12,18,18,18,10,17,20,9,13
IND,2022,25,57,32,50,-3.48,0.22,-3.26,112.6,116.1,98
IND,2022,26,5,24,24,24,4,24,16,28,17
IND,2023,35,47,33,49,-3.18,0.28,-2.91,114.6,117.7,101.1
IND,2023,23,7,25,25,25,3,25,19,26,4
IND,2024,47,35,48,34,3.05,-0.3,2.75,121,118,101.7
IND,2024,12,16,10,10,9,24,10,2,24,2
LAC,2022,42,40,41,41,0.02,0.06,0.09,110.1,110.1,98
LAC,2022,18,13,18,18,18,13,17,24,8,18
LAC,2023,44,38,42,40,0.5,-0.19,0.31,115,114.5,98
LAC,2023,11,18,17,17,17,25,18,16,18,24
LAC,2024,51,31,49,33,3.28,0.13,3.41,118.8,115.4,97.2
LAC,2024,5,26,7,7,7,8,7,4,17,20
LAL,2022,33,49,33,49,-3.05,-0.03,-3.08,110.3,113.3,100.1
LAL,2022,23,8,22,22,22,18,22,23,21,4
LAL,2023,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,101.3
LAL,2023,14,17,16,16,16,21,16,20,11,3
LAL,2024,47,35,42,40,0.6,0.48,1.07,115.9,115.3,100.9
LAL,2024,12,16,19,19,19,5,19,15,16,4
MEM,2022,56,26,55,27,5.68,-0.32,5.37,114.6,109,100.3
MEM,2022,2,29,5,5,4,28,5,5,4,3
MEM,2023,51,31,51,31,3.94,-0.34,3.6,115.1,111.2,101.1
MEM,2023,5,25,4,4,4,29,5,15,2,5
MEM,2024,27,55,24,58,-7,0.43,-6.57,107.2,114.3,98.2
MEM,2024,24,7,26,26,26,6,26,30,12,16
MIA,2022,53,29,53,29,4.45,-0.22,4.23,113.7,109.1,95.9
MIA,2022,3,27,6,6,6,26,6,10,5,28
MIA,2023,44,38,40,42,-0.32,0.18,-0.13,113,113.3,96.3
MIA,2023,11,18,21,21,21,6,19,25,9,29
MIA,2024,46,36,46,36,1.76,-0.66,1.1,114,112.2,96.2
MIA,2024,16,13,16,16,16,30,18,21,5,29
MIL,2022,51,31,49,33,3.35,-0.14,3.22,115.1,111.8,99.9
MIL,2022,6,23,8,8,7,23,7,3,14,7
MIL,2023,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,100.5
MIL,2023,1,30,5,5,5,17,4,12,4,10
MIL,2024,49,33,47,35,2.62,-0.18,2.44,118.4,115.8,99.9
MIL,2024,8,21,12,12,11,21,12,6,19,7
MIN,2022,46,36,48,34,2.63,-0.1,2.53,114.3,111.7,100.9
MIN,2022,12,18,10,10,9,22,10,8,13,1
MIN,2023,42,40,41,41,-0.04,-0.18,-0.22,113.7,113.8,101
MIN,2023,15,15,20,20,20,24,21,23,10,7
MIN,2024,56,26,57,25,6.45,-0.07,6.39,115.6,109,97.1
MIN,2024,4,27,3,3,3,19,3,16,1,24
NOP,2022,36,46,38,44,-0.99,0.15,-0.84,112,113,97.2
NOP,2022,20,11,21,21,21,8,21,19,20,21
NOP,2023,42,40,46,36,1.89,-0.26,1.63,114.4,112.5,99.1
NOP,2023,15,15,10,10,10,27,11,21,6,14
NOP,2024,49,33,52,30,4.41,0.05,4.46,117.4,112.9,97.9
NOP,2024,8,21,6,6,6,13,5,11,7,17
NYK,2022,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,95.9
NYK,2022,19,12,19,19,19,10,19,22,11,29
NYK,2023,47,35,48,34,2.93,0.06,2.99,117.8,114.8,97.1
NYK,2023,8,23,7,7,7,12,7,3,19,25
NYK,2024,50,32,53,29,4.59,-0.23,4.36,118.2,113.4,95.2
NYK,2024,6,24,5,5,5,23,6,7,10,30
OKC,2022,24,58,21,61,-8.1,0.2,-7.9,104.6,112.8,98.6
OKC,2022,27,4,29,29,28,7,28,29,18,12
OKC,2023,40,42,44,38,1.09,-0.12,0.96,115.2,114.2,101.1
OKC,2023,19,11,14,14,14,19,15,13,14,6
OKC,2024,57,25,58,24,7.41,-0.05,7.36,119.5,112.1,99.8
OKC,2024,2,28,2,2,2,18,2,3,4,8
ORL,2022,22,60,21,61,-8,0.33,-7.67,104.5,112.5,99.2
ORL,2022,29,2,27,27,27,2,27,30,17,10
ORL,2023,34,48,35,47,-2.56,0.17,-2.39,111.6,114.2,99.3
ORL,2023,25,6,24,24,24,8,24,26,16,13
ORL,2024,47,35,46,36,2.02,-0.55,1.48,113.4,111.3,96.9
ORL,2024,12,16,15,15,15,28,16,22,2,25
PHI,2022,51,31,48,34,2.61,-0.04,2.57,113.5,110.8,96.2
PHI,2022,6,23,9,9,10,19,9,12,12,25
PHI,2023,54,28,52,30,4.32,0.06,4.37,117.7,113.3,96.9
PHI,2023,3,28,3,3,3,13,3,4,8,27
PHI,2024,47,35,49,33,3.05,-0.54,2.51,116.9,113.8,97.5
PHI,2024,12,16,8,8,9,27,11,14,11,18
PHO,2022,64,18,59,23,7.5,-0.56,6.94,114.8,107.3,99.8
PHO,2022,1,30,1,1,1,30,2,4,3,9
PHO,2023,45,37,46,36,2.07,0.01,2.08,115.1,113,98.2
PHO,2023,9,21,9,9,9,16,9,14,7,22
PHO,2024,49,33,49,33,3.06,0.02,3.08,117.6,114.6,98.3
PHO,2024,8,21,9,9,8,14,8,9,13,15
POR,2022,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,98.3
POR,2022,25,6,30,30,30,3,30,27,30,16
POR,2023,33,49,31,51,-4.01,0.05,-3.96,114.8,118.8,98.6
POR,2023,26,5,26,26,26,14,26,18,27,18
POR,2024,21,61,20,62,-9.02,0.74,-8.29,108.3,117.5,97.2
POR,2024,27,3,29,29,27,1,27,29,23,21
SAC,2022,30,52,28,54,-5.46,0.2,-5.26,109.9,115.3,99.8
SAC,2022,24,7,25,25,25,6,25,25,27,8
SAC,2023,48,34,47,35,2.65,-0.35,2.3,119.4,116.8,100.3
SAC,2023,7,24,8,8,8,30,8,1,25,12
SAC,2024,46,36,45,37,1.74,0.55,2.29,116.9,115.2,98.8
SAC,2024,16,13,17,17,17,4,14,13,14,14
SAS,2022,34,48,41,41,0.12,-0.1,0.02,112.4,112.3,100
SAS,2022,22,9,17,17,17,21,18,18,16,5
SAS,2023,22,60,19,63,-10.04,0.22,-9.82,110.2,120,101.6
SAS,2023,28,2,30,30,30,5,30,29,30,1
SAS,2024,22,60,26,56,-6.49,0.69,-5.8,110,116.4,101.1
SAS,2024,26,5,25,25,25,2,24,26,22,3
TOR,2022,48,34,47,35,2.29,0.08,2.38,112.9,110.5,96
TOR,2022,10,20,11,11,12,12,11,14,10,27
TOR,2023,41,41,45,37,1.48,0.12,1.59,115.5,114,97.1
TOR,2023,17,13,12,12,12,10,12,11,12,26
TOR,2024,25,57,26,56,-6.44,-0.01,-6.45,112.3,118.8,99.4
TOR,2024,25,6,24,24,24,16,25,24,25,11
UTA,2022,49,33,56,26,6.04,-0.37,5.67,116.7,110.5,97.1
UTA,2022,9,22,3,3,3,29,3,1,9,22
UTA,2023,37,45,39,43,-0.94,-0.09,-1.03,115.8,116.7,100.5
UTA,2023,22,9,22,22,22,18,22,10,23,11
UTA,2024,31,51,29,53,-4.89,0.68,-4.22,115.5,120.4,99.5
UTA,2024,23,8,23,23,23,3,23,17,30,10
WAS,2022,35,47,32,50,-3.38,0.15,-3.23,111.1,114.5,97
WAS,2022,21,10,23,23,23,8,23,21,25,23
WAS,2023,35,47,38,44,-1.21,0.15,-1.06,114.4,115.6,98.6
WAS,2023,23,7,23,23,23,9,23,22,21,17
WAS,2024,15,67,20,62,-9.29,0,-9.29,110.5,119.6,102.7
WAS,2024,29,2,27,27,29,15,29,25,28,1